unit	graph	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm
P0031	GSE205335	6428	319	3824	0.9488405585289001	0.5948973242065961	low
P1006	GSE205335	6090	1282	2998	1.338077425956726	0.4922824302134647	high
P1015	GSE205335	1195	291	473	0.7684376239776611	0.39581589958158997	low
P1016	GSE205335	6924	5336	763	1.4550707340240479	0.11019641825534374	high
P1017	GSE205335	6266	2186	2370	1.446833848953247	0.3782317267794446	high
P1018	GSE205335	5029	1180	2546	1.4567127227783203	0.5062636707098827	high
P1025	GSE205335	1222	980	128	1.694045066833496	0.10474631751227496	high
P1027	GSE205335	4600	1318	2619	2.1198792457580566	0.5693478260869566	high
P1030	GSE205335	861	603	140	1.6170852184295654	0.16260162601626016	high
P1037	GSE205335	4983	3671	611	0.9543756246566772	0.12261689745133454	low
P1056	GSE205335	5103	2386	1354	0.8104878067970276	0.26533411718596905	low
P1062	GSE205335	3057	188	1934	0.9858523607254028	0.6326463853451095	high
P1063	GSE205335	4297	131	3144	0.7369170188903809	0.7316732604142425	low
P1072	GSE205335	1273	406	586	0.9359386563301086	0.4603299293008641	low
P1076	GSE205335	6975	849	2089	0.9238031506538391	0.2994982078853047	low
P1079	GSE205335	1277	543	501	0.9667482972145081	0.3923257635082224	low
P1084	GSE205335	3534	196	2350	2.256213903427124	0.6649688737973967	high
P1089	GSE205335	1609	1063	272	2.1514415740966797	0.16904909881914232	high
P1090	GSE205335	976	566	247	0.6880064606666565	0.2530737704918033	low
P1115	GSE205335	4397	3769	271	1.622982144355774	0.06163293154423471	high
P1119	GSE205335	2386	1222	621	0.5610693097114563	0.26026823134953897	low
P4001	GSE205335	2308	27	1801	0.7331695556640625	0.7803292894280762	low
